nome_prodotto,marca,descrizione,url_immagine
Fresa PRO Ceramic dry Per piccole smerigliatrici angolari,Bosch,"Lunga durata nella smerigliatura a secco della ceramica
Grana diamantata di alta qualità brasata per una maggiore durata
Fissalo con X-LOCK o usalo con smerigliatrici angolari con dado e filettatura",https://www.bosch-professional.com/it/it/ocsmedia/478041-82/product-image/720x410/fresa-pro-ceramic-dry-3088633.png
"Disco diamantato PRO Multi Material Per seghe da banco, Per mototroncatrici a scoppio",Bosch,"Lunga durata nel taglio di vari materiali da costruzione
Segmenti a basso attrito progettati per ridurre al minimo l'usura sui lati
Con foro da 20 mm per mototroncatrice a scoppio",https://www.bosch-professional.com/it/it/ocsmedia/478154-82/product-image/720x410/disco-diamantato-pro-multi-material-3088595.png
"Disco diamantato PRO Multi Material Per seghe da banco, Per mototroncatrici a scoppio",Bosch,"Lunga durata nel taglio di vari materiali da costruzione
Segmenti a basso attrito progettati per ridurre al minimo l'usura sui lati
Con foro da 25,4 mm, si adatta a fori da 20 mm con anelli di riduzione",https://www.bosch-professional.com/it/it/ocsmedia/478157-82/product-image/720x410/disco-diamantato-pro-multi-material-3088596.png
Disco diamantato PRO Multi Material Per piccole smerigliatrici angolari,Bosch,"Lunga durata nel taglio di vari materiali da costruzione
Segmenti a basso attrito progettati per ridurre al minimo l'usura sui lati
Fissalo con X-LOCK o usalo con smerigliatrici angolari con dado e filettatura",https://www.bosch-professional.com/it/it/ocsmedia/478162-82/product-image/720x410/disco-diamantato-pro-multi-material-3088597.png
Disco diamantato PRO Stone Per piccole smerigliatrici angolari,Bosch,"Lunga durata nel taglio di vari materiali da costruzione
Segmenti a basso attrito progettati per ridurre al minimo l'usura sui lati
Con foro da 22,3 mm per smerigliatrici angolari con attacco standard",https://www.bosch-professional.com/it/it/ocsmedia/478101-82/product-image/720x410/disco-diamantato-pro-stone-3088615.png
Dischi diamantati PRO Abrasive Per smerigliatrici angolari grandi con dado di serraggio,Bosch,"Lunga durata nel taglio di materiali abrasivi
Segmenti a basso attrito progettati per ridurre al minimo l'usura sui lati
Con foro da 22,3 mm per smerigliatrici angolari con attacco standard",https://www.bosch-professional.com/it/it/ocsmedia/478122-82/product-image/720x410/dischi-diamantati-pro-abrasive-3088602.png
"Dischi diamantati PRO Abrasive Per seghe da banco, Per mototroncatrici a scoppio",Bosch,"Lunga durata nel taglio di materiali abrasivi
Segmenti a basso attrito progettati per ridurre al minimo l'usura sui lati
Con foro da 25,4 mm, si adatta a fori da 20 mm con anelli di riduzione",https://www.bosch-professional.com/it/it/ocsmedia/478125-82/product-image/720x410/dischi-diamantati-pro-abrasive-3088603.png
Disco diamantati PRO Ceramic Per tagliapiastrelle,Bosch,"Lunga durata nel taglio delle piastrelle
Grana e matrice al diamante di alta qualità per durata e precisione
With different bore sizes for angle grinders",https://www.bosch-professional.com/it/it/ocsmedia/467956-82/product-image/720x410/disco-diamantati-pro-ceramic-3088604.png
"Disco diamantati PRO Ceramic Per piccole smerigliatrici angolari, Per frese per marmo",Bosch,"Taglio di precisione delle piastrelle
Grana e matrice al diamante di alta qualità per durata e precisione
Con foro da 22,3 mm per smerigliatrici angolari con attacco standard",https://www.bosch-professional.com/it/it/ocsmedia/478094-82/product-image/720x410/disco-diamantati-pro-ceramic-3088608.png
Disco diamantati PRO Ceramic Per piccole smerigliatrici angolari,Bosch,"Taglio di precisione delle piastrelle
Grana e matrice al diamante di alta qualità per durata e precisione
Fissalo con X-LOCK o usalo con smerigliatrici angolari con dado e filettatura",https://www.bosch-professional.com/it/it/ocsmedia/478160-82/product-image/720x410/disco-diamantati-pro-ceramic-3088609.png
