nome,marca,descrizione,immagine,link
UNIMARC FONDO UNIVERSALE,San Marco,"Pittura di fondo per legno a base acqua, copre il fondo e lo rende uniforme; può essere applicato anche su alluminio, lamiera e plastica, in interni ed esterni.",https://egress.storeden.net/jpg/678e1f7be39ee1f117a68cf1,/product/20248451/unimarc-fondo-universale
GLOBAL ULTRA GL 85 LUCIDO,San Marco,"Smalto per ferro e legno ad effetto lucido; crea una barriera protettiva, anticorrosiva e antiruggine, che protegge in atmosfere anche aggressive; facile da stendere, non ingiallisce.",https://egress.storeden.net/jpg/67b34b30e39ee13018882c1f,/product/20777678/global-ultra-gl-85-lucido
GLOBAL ULTRA GL 25 SATINATO,San Marco,"Smalto per ferro e legno ad effetto satinato; crea una barriera protettiva, anticorrosiva e antiruggine, che protegge in atmosfere anche aggressive; facile da stendere, non ingiallisce.",https://egress.storeden.net/jpg/67b34dbee39ee1f51f882c25,/product/20777679/global-ultra-gl-25-satinato
GLOBAL ULTRA GL 10 OPACO,San Marco,"Smalto per ferro e legno ad effetto opaco; crea una barriera protettiva, anticorrosiva e antiruggine, che protegge in atmosfere anche aggressive; facile da stendere, non ingiallisce.",https://egress.storeden.net/jpg/67b34d36e39ee13018882cf9,/product/20777680/global-ultra-gl-10-opaco
UNIMARC SMALTO PER RADIATORI,San Marco,"Smalto per termosifoni bianco, ad effetto satinato e a base d'acqua; facile da applicare, assicura ottima copertura su spigoli e bordi.",https://egress.storeden.net/jpg/678e1f6fbe7ea06801e245d6,/product/23456253/unimarc-smalto-per-radiatori
SATURNO,San Marco,"Fondo antiruggine per ferro, a base di fosfato di zinco, da applicare prima dello smalto; isola il metallo e lo protegge nel tempo dalla corrosione e dalla ruggine.",https://egress.storeden.net/jpg/678e1fc5be7ea00ceee24678,/product/20248467/saturno
KIRON,San Marco,"Smalto ferromicaceo anticorrosivo per ferro, ad effetto antichizzato; ad azione anticorrosiva, crea una protezione duratura contro la ruggine, gli agenti atmosferici e la luce.",https://egress.storeden.net/jpg/678e1f96e39ee11218a68c38,/product/20248459/kiron
UNIMARC SMALTO LUCIDO,San Marco,"Smalto per legno, metallo e ceramica a base acqua a effetto lucido; non ingiallisce e permette di ottenere superfici traspiranti e idrorepellenti..",https://egress.storeden.net/jpg/678e1f62e39ee11218a68c30,/product/20248448/unimarc-smalto-lucido
UNIMARC SMALTO MICACEO,San Marco,"Smalto micaceo per ferro e superfici metalliche a base acqua; ad effetto antichizzato, crea una barriera duratura nel tempo contro gli agenti armosferici e i raggi uv.",https://egress.storeden.net/jpg/67c970a8e39ee18b6d87ca2d,/product/20248450/unimarc-smalto-micaceo
UNIMARC FONDO UNIVERSALE,San Marco,"Pittura di fondo per legno a base acqua, copre il fondo e lo rende uniforme; può essere applicato anche su alluminio, lamiera e plastica, in interni ed esterni.",https://egress.storeden.net/jpg/678e1f7be39ee1f117a68cf1,/product/20248451/unimarc-fondo-universale
UNIMARC SMALTO SETA,San Marco,"Smalto per legno, metallo e ceramica a base acqua a effetto satinato; non ingiallisce e permette di ottenere superfici traspiranti e idrorepellenti.",https://egress.storeden.net/jpg/6827d18fe39ee14a4c5c60de,/product/20248447/unimarc-smalto-seta
PAINTOP ANTIALGA,San Marco,"Pittura al quarzo, per esterni, ad elevato potere riempitivo e mascherante che la rende adatta per supporti imperfetti; antimuffa e antialga, preserva dalla formazione di muffe e alghe.",https://egress.storeden.net/jpg/6808c3b6e39ee198caece4c9,/product/20248656/paintop-antialga
DECORFOND,San Marco,Fondo uniformante ideale per pitture decorative; si applica prima della pittura decorativa per ottenere fondo omogeneo su tutta la parete; si stende agevolmente a rullo.,https://egress.storeden.net/jpg/6811f851e39ee16ce01e84f2,/product/22325601/decorfond
COMBAT FIX,San Marco,Fissativo antimuffa da applicare prima della pittura antimuffa per potenziarne e prolungarne l'effetto.,https://egress.storeden.net/jpg/6808b872e39ee14dc8ece4bd,/product/20248703/combat-fix
STUCCOFACILE,San Marco,"Stucco in pasta per muro pronto all'uso, a base di microsfere in vetro, per applicazioni in interno ed esterno; ideale per riempire buchi o piccole irregolarità su supporti murali e legno.",https://egress.storeden.net/jpg/678e21d7e39ee13b19a68c8c,/product/20248555/stuccofacile
ATOMO,San Marco,"Fissativo per pareti inodore, per interni ed esterni, da applicare prima della pittura; a formulazione innovativa, penetra in profondità anche su superfici molto sfarinanti.",https://egress.storeden.net/jpg/6808a2e7e39ee1adc2ece4e1,/product/20248492/atomo
SVERNICIATORE SM10,San Marco,"Sverniciatore per legno, ferro e muro, pronto all’uso; particolarmente potente, agisce anche su superfici vecchie e garantisce il risultato.",https://egress.storeden.net/jpg/678e229fe39ee1cb19a68c17,/product/23456264/sverniciatore-sm10
RUGISTOP,San Marco,"Convertitore di ruggine per ferro, pronto all’uso; elimina la ruggine anche da punti difficili da raggiungere e non richiede carteggio o spazzolatura.",https://egress.storeden.net/jpg/678e220fe39ee10d19a68db3,/product/23456262/rugistop
GLOBAL SPRAY COPRIMACCHIA,San Marco,"Spray coprimacchia per muro, copre ed elimina le macchie sulle pareti; da utilizzare prima della pittura.",https://egress.storeden.net/jpg/679748f8e39ee188376466ff,/product/23212273/global-spray-coprimacchia
ACQUARAGIA,San Marco,"Acquaragia per diluire smalti, antiruggini, vernici e pitture a solvente e a olio.",https://egress.storeden.net/jpg/678e2260e39ee16218a68cf1,/product/20248588/acquaragia
Rullo a pelo corto,San Marco,"Rullo a pelo corto di 5 mm con manico in acciaio e impugnatura anatomica in plastica, 230 mm",https://egress.storeden.net/jpg/67d1b0a2be7ea01a214c51c4,/product/32546432/rullo-a-pelo-corto
