name,description,url,image_url
Manico diritto,"Segaccio a taglio rapido Rapid Pull - Made in Japan 
dentatura speciale a tre taglienti
lama attiva in fase di tiraggio tre volte più veloce
estrema precisione di taglio
lunghezza lama 265 mm",https://www.unishop.it/600/0695-932-201-01,https://www.unishop.it/media/22/4f/4f/1742244021/0695-932-201_MAINPIC_high.webp
Lama 9 mm professionale,Cutter alta qualità - Made in Japan impugnatura in ABS o bicomponentelama scorrevole a spezzare in acciaio di altissima qualitàsistema di bloccaggio della lama sicuro e praticospezzalama di sicurezzacon 2 lame ricambio contenute nel manico (esclusa versione bicomponente con lama 25 mm - 3715 640 24),https://www.unishop.it/lama-9mm/3715-640-20-01,https://www.unishop.it/media/f7/1a/1f/1742244046/3715-640-20_MAINPIC_high.webp
Lama Inox microdentata,Forbice elettricista lame dritte - linea professionale in materiale professionale sia sulla parte lama che nell’impugnaturaergonomica,https://www.unishop.it/140/0714-03-166-01,https://www.unishop.it/media/0e/50/15/1742244068/0714-03-166_MAINPIC_high.webp
Lama seghetto bimetallica con…,"Lama seghetto bimetallica con dentatura progressiva idonea per il taglio di acciaio per utensili, acciaio inox e acciai da costruzione
 lama a dentatura variabile con parte anteriore più fitta per favorire l’inizio del tagliodentatura progressiva da 18 a 32 denti per polliceottima per l’impiego su materiali sottili, vibrazioni ridottealtissima flessibilità per una maggior sicurezzaottima resa di tagliolunga durata",https://www.unishop.it/300/0601-301-133-01,https://www.unishop.it/media/87/02/20/1742244017/0601-301-133_MAINPIC_high.webp
Cutter alta qualità con rotel…,"Cutter alta qualità con rotella - Made in Japan 
impugnatura in ABS
lama scorrevole a spezzare in acciaio di altissima qualità
sistema di bloccaggio della lama mediante rotella",https://www.unishop.it/lama-25mm/3715-640-240-01,https://www.unishop.it/media/a7/0f/05/1742244057/3715-640-240_MAINPIC_high.webp
Cutter economy,Cutter economy impugnatura in ABSlama scorrevole a spezzare in acciaiosistema di bloccaggio della lama a scattospezzalama nella parte posteriore,https://www.unishop.it/lama-9mm/0695-997-108-01,https://www.unishop.it/media/3d/3a/2d/1742244059/0695-997-109_MAINPIC_high.webp
Lama 18 mm professionale,Cutter alta qualità - Made in Japan impugnatura in ABS o bicomponentelama scorrevole a spezzare in acciaio di altissima qualitàsistema di bloccaggio della lama sicuro e praticospezzalama di sicurezzacon 2 lame ricambio contenute nel manico (esclusa versione bicomponente con lama 25 mm - 3715 640 24),https://www.unishop.it/lama-18mm/3715-640-21-01,https://www.unishop.it/media/a4/3d/7b/1742244048/3715-640-21_MAINPIC_high.webp
"Lama Inox microdentata, manic…",Forbice elettricista lame dritte - linea professionale in materiale professionale sia sulla parte lama che nell’impugnaturaergonomica,https://www.unishop.it/140/0714-03-168-01,https://www.unishop.it/media/a2/0b/f6/1742244070/0714-03-168_MAINPIC_high.webp
Cutter economy,Cutter economy impugnatura in gommalama scorrevole a spezzare in acciaiosistema di bloccaggio della lama a scattospezzalama nella parte posteriore,https://www.unishop.it/lama-18mm/0720-000-02-01,https://www.unishop.it/media/96/07/4b/1742244061/0720-000-02_MAINPIC_high.webp
Lama di ricambio per segaccio…,Lama di ricambio per segaccio Rapid Pull - Made in Japan dentatura in acciaio a tempera speciale con tre taglientilunghezza lama 265 mm,https://www.unishop.it/265/0695-932-202-01,https://www.unishop.it/media/c1/7e/26/1742244024/0695-932-202_MAINPIC_high.webp
Lama 22 mm professionale,Cutter alta qualità - Made in Japan impugnatura in ABS o bicomponentelama scorrevole a spezzare in acciaio di altissima qualitàsistema di bloccaggio della lama sicuro e praticospezzalama di sicurezzacon 2 lame ricambio contenute nel manico (esclusa versione bicomponente con lama 25 mm - 3715 640 24),https://www.unishop.it/lama-22mm/3715-640-23-01,https://www.unishop.it/media/f1/e0/c8/1742244050/3715-640-23_MAINPIC_high.webp
Bicomponente lama 25 mm,Cutter alta qualità - Made in Japan impugnatura in ABS o bicomponentelama scorrevole a spezzare in acciaio di altissima qualitàsistema di bloccaggio della lama sicuro e praticospezzalama di sicurezzacon 2 lame ricambio contenute nel manico (esclusa versione bicomponente con lama 25 mm - 3715 640 24),https://www.unishop.it/lama-25mm/3715-640-24-01,https://www.unishop.it/media/b3/ae/61/1742234676/3715-640-24_MAINPIC_high.webp
Segaccio a taglio rapido Magn…,"Segaccio a taglio rapido Magnum - Made in Japan 
dentatura speciale a tre taglienti
lama con rivestimento Fluorine antiruggine attiva in fase di tiraggio
manico bicomponente alluminio/elastomero
leggerezza ed estrema precisione di taglio
lunghezza lama 300 mm",https://www.unishop.it/475/0695-932-300-01,https://www.unishop.it/media/bc/54/5e/1742244027/0695-932-300_MAINPIC_high.webp
Forbice multiuso bicomponente,Forbice multiuso bicomponente lame in acciaio inossidabile con microdentatura antiscivolomanico in materiale plastico bicomponente ad alta resistenzacon molla di ritorno,https://www.unishop.it/190/0714-03-169-01,https://www.unishop.it/media/e7/2b/4b/1742244064/0714-03-169_MAINPIC_high.webp
Lama di ricambio per segaccio…,Lama di ricambio per segaccio MAGNUM - Made in Japan dentatura in acciaio a tempera speciale con tre taglientilunghezza lama 300 mm,https://www.unishop.it/300/0695-932-302-01,https://www.unishop.it/media/d6/c7/b7/1742244029/0695-932-302_MAINPIC_high.webp
Segacci,"Miniseghetto con lama 
archetto in tondino d’acciaio trafilato e nichelato
lunghezza lama 150 mm",https://www.unishop.it/utensili/strumenti-da-taglio/segacci/,https://www.unishop.it/media/49/45/66/1742234669/Segacci_high.webp
Cutter e forbici,Cutter alta qualità - Made in Japan impugnatura in ABS o bicomponentelama scorrevole a spezzare in acciaio di altissima qualitàsistema di bloccaggio della lama sicuro e praticospezzalama di sicurezzacon 2 lame ricambio contenute nel manico (esclusa versione bicomponente con lama 25 mm - 3715 640 24),https://www.unishop.it/utensili/strumenti-da-taglio/cutter-e-forbici/,https://www.unishop.it/media/fd/f3/98/1742234672/Cutter%20e%20forbici_high.webp
"Symron ""R"" - nastro fibra di…",Rotelle metriche professionali - Made in Japan cassa robusta in ABSavvolgimento a manovellacinghietta resistente in materiale plastico,https://www.unishop.it/13x30mt/0695-940-317-01,https://www.unishop.it/media/fe/41/2b/1742244086/0695-940-317_MAINPIC_high.webp
Flessometro professionale,Flessometro professionale - Made in Japan nastro in acciaio classe 2 Hi-carbon ad altissima precisione e resistenzacassa in ABS antiurtoavvolgimento automatico e pulsante di bloccocon gancio per cintura,https://www.unishop.it/25x10mt/0695-940-461-01,https://www.unishop.it/media/82/08/87/1742244072/0695-940-465_MAINPIC_high.webp
Flessometro professionale bic…,Flessometro professionale bicomponente - Made in Japan nastro in acciaio classe 2 Hi-carbon ad altissima precisione e resistenzacassa in ABS antiurto rivestita in materiale elastomeroavvolgimento automatico e pulsante di bloccocon gancio per cintura e cinghietta in materiale plastico,https://www.unishop.it/25x5mt/0695-940-365-01,https://www.unishop.it/media/21/2b/55/1742244077/0695-940-365_MAINPIC_high.webp
Espositore flessometri profes…,Espositore flessometri professionali - Made in Japan contenuto espositore 3 mt: 32 pz.contenuto espositore 5 mt: 24 pz.nastro in acciaio classe 2 Hi-carbon ad altissima precisione e resistenzacassa in ABS antiurtoavvolgimento automatico e pulsante di bloccocon gancio per cintura,https://www.unishop.it/25x5mt/0965-940-465-01,https://www.unishop.it/media/a0/df/6e/1747168707/0965-940-463_MAINPIC_high.webp
